Date,Start Time,End Time
21/12/2012,17:34:00,18:04:00
21/12/2012,09:44:00,09:56:00
21/12/2012,09:04:00,09:37:00
20/12/2012,18:20:00,18:42:00
20/12/2012,08:56:00,09:21:00
19/12/2012,18:15:00,18:43:00
19/12/2012,08:02:00,08:28:00
18/12/2012,18:43:00,18:49:00
18/12/2012,08:44:00,09:04:00
17/12/2012,21:04:00,21:24:00
17/12/2012,07:59:00,08:30:00
15/12/2012,18:08:00,18:49:00
15/12/2012,13:14:00,13:55:00
14/12/2012,20:14:00,20:23:00
14/12/2012,19:37:00,19:55:00
14/12/2012,07:52:00,08:11:00
13/12/2012,18:58:00,19:20:00
13/12/2012,08:41:00,09:04:00
12/12/2012,22:13:00,22:34:00
12/12/2012,20:09:00,20:28:00
12/12/2012,18:19:00,18:40:00
12/12/2012,07:35:00,07:57:00
11/12/2012,17:37:00,18:06:00
11/12/2012,07:27:00,07:49:00
10/12/2012,20:30:00,21:04:00
10/12/2012,18:05:00,18:19:00
10/12/2012,11:56:00,12:07:00
10/12/2012,07:49:00,08:13:00
08/12/2012,23:44:00,00:14:00
08/12/2012,20:50:00,21:16:00
08/12/2012,17:31:00,17:44:00
08/12/2012,13:44:00,13:58:00
07/12/2012,23:40:00,23:59:00
07/12/2012,08:40:00,09:04:00
06/12/2012,18:18:00,18:39:00
06/12/2012,08:48:00,09:17:00
05/12/2012,21:53:00,22:19:00
05/12/2012,09:00:00,09:23:00
04/12/2012,19:09:00,19:34:00
04/12/2012,09:28:00,10:03:00
03/12/2012,21:30:00,21:53:00
03/12/2012,08:40:00,09:08:00
01/12/2012,18:33:00,18:51:00
01/12/2012,17:32:00,17:49:00
01/12/2012,15:23:00,15:46:00
26/01/2013,09:52:00,10:38:00
25/01/2013,22:19:00,22:53:00
25/01/2013,18:11:00,18:25:00
25/01/2013,07:56:00,08:24:00
24/01/2013,22:24:00,22:59:00
24/01/2013,18:12:00,18:33:00
24/01/2013,08:56:00,09:43:00
23/01/2013,21:29:00,21:54:00
23/01/2013,08:29:00,09:11:00
22/01/2013,18:13:00,18:35:00
22/01/2013,08:06:00,08:31:00
21/01/2013,20:41:00,20:54:00
21/01/2013,19:35:00,19:59:00
21/01/2013,11:19:00,11:41:00
20/01/2013,20:25:00,20:52:00
20/01/2013,13:13:00,13:41:00
19/01/2013,18:49:00,19:46:00
19/01/2013,13:15:00,13:40:00
19/01/2013,10:57:00,11:13:00
18/01/2013,18:39:00,19:05:00
18/01/2013,07:59:00,08:24:00
17/01/2013,20:12:00,20:34:00
17/01/2013,08:29:00,09:11:00
16/01/2013,18:19:00,18:41:00
16/01/2013,08:00:00,08:30:00
15/01/2013,22:28:00,22:54:00
15/01/2013,07:37:00,07:59:00
14/01/2013,19:42:00,20:06:00
14/01/2013,08:22:00,08:55:00
11/01/2013,21:50:00,22:16:00
11/01/2013,19:57:00,20:09:00
11/01/2013,08:12:00,08:32:00
10/01/2013,18:48:00,19:10:00
10/01/2013,08:46:00,09:13:00
09/01/2013,21:09:00,22:00:00
09/01/2013,18:16:00,18:29:00
09/01/2013,08:48:00,09:20:00
08/01/2013,17:52:00,18:20:00
08/01/2013,08:10:00,08:32:00
07/01/2013,22:25:00,22:53:00
07/01/2013,08:42:00,09:14:00
06/01/2013,22:29:00,22:52:00
06/01/2013,19:55:00,20:18:00
05/01/2013,15:42:00,15:53:00
05/01/2013,15:03:00,15:16:00
04/01/2013,20:16:00,20:39:00
04/01/2013,09:14:00,09:42:00
03/01/2013,19:38:00,20:00:00
03/01/2013,08:00:00,08:20:00
02/01/2013,22:05:00,22:34:00
02/01/2013,21:47:00,21:54:00
02/01/2013,18:32:00,18:37:00
02/01/2013,07:32:00,07:51:00
28/02/2013,22:56:00,23:24:00
28/02/2013,07:54:00,08:23:00
27/02/2013,21:48:00,22:20:00
27/02/2013,09:02:00,09:32:00
26/02/2013,18:54:00,19:20:00
26/02/2013,08:53:00,09:21:00
25/02/2013,19:20:00,19:39:00
25/02/2013,07:54:00,08:22:00
24/02/2013,15:52:00,16:27:00
24/02/2013,11:04:00,11:13:00
24/02/2013,08:58:00,09:20:00
22/02/2013,23:23:00,23:55:00
22/02/2013,08:59:00,09:32:00
21/02/2013,19:46:00,19:49:00
21/02/2013,19:19:00,19:38:00
21/02/2013,08:02:00,08:28:00
20/02/2013,22:18:00,22:53:00
20/02/2013,18:45:00,18:59:00
20/02/2013,08:47:00,09:12:00
19/02/2013,18:44:00,19:06:00
19/02/2013,09:03:00,09:28:00
18/02/2013,18:55:00,19:22:00
18/02/2013,08:00:00,08:25:00
17/02/2013,16:27:00,17:05:00
17/02/2013,12:44:00,13:26:00
16/02/2013,15:59:00,17:19:00
16/02/2013,12:34:00,13:21:00
15/02/2013,18:21:00,18:50:00
15/02/2013,08:49:00,09:15:00
14/02/2013,18:26:00,18:50:00
14/02/2013,09:06:00,09:28:00
13/02/2013,18:07:00,18:35:00
13/02/2013,14:01:00,14:14:00
13/02/2013,11:30:00,11:43:00
13/02/2013,08:19:00,08:53:00
12/02/2013,18:26:00,18:54:00
12/02/2013,09:16:00,09:45:00
11/02/2013,22:18:00,22:55:00
11/02/2013,18:34:00,18:46:00
11/02/2013,08:13:00,08:39:00
09/02/2013,17:12:00,17:19:00
09/02/2013,16:12:00,16:29:00
09/02/2013,13:03:00,13:15:00
08/02/2013,20:35:00,20:55:00
08/02/2013,08:18:00,08:43:00
07/02/2013,22:32:00,23:04:00
07/02/2013,09:06:00,09:31:00
06/02/2013,18:41:00,19:05:00
06/02/2013,09:02:00,09:31:00
05/02/2013,22:06:00,22:34:00
05/02/2013,18:17:00,18:26:00
05/02/2013,08:53:00,09:19:00
04/02/2013,20:56:00,21:19:00
04/02/2013,07:19:00,07:42:00
03/02/2013,22:15:00,23:17:00
